Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Giosa,Alessandro,ITA,File:Alessandro Giosa (Legavolley 2017).jpg,Category:Alessandro Giosa,Q46994759
Giovi,Andrea,ITA,File:Andrea Giovi (Legavolley 2017).jpg,Category:Andrea Giovi,Q493971
Gitto,Carmelo,ITA,File:Carmelo Gitto (Legavolley 2017).jpg,Category:Carmelo Gitto,Q3660240
Giuliani,Ludovico,ITA,File:Ludovico Giuliani (Legavolley 2017).jpg,Category:Ludovico Giuliani,Q46994765
Goi,Riccardo,ITA,File:Riccardo Goi (Legavolley 2017).jpg,Category:Riccardo Goi,Q16867145
Gozzo,Stefano,ITA,File:Stefano Gozzo (Legavolley 2017).jpg,Category:Stefano Gozzo,Q21030425
Gradi,Cesare,ITA,File:Cesare Gradi (Legavolley 2017).jpg,Category:Cesare Gradi,Q3665442
Grassano,Michele,ITA,File:Michele Grassano (Legavolley 2017).jpg,Category:Michele Grassano,Q18223570
Grassi,Tommaso,ITA,File:Tommaso Grassi (Legavolley 2017).jpg,Category:Tommaso Grassi,Q46994771
Graziani,Alessandro,ITA,File:Alessandro Graziani (Legavolley 2017).jpg,Category:Alessandro Graziani,Q46994774
Hebda,Milosz,POL,File:Milosz Hebda (Legavolley 2017).jpg,Category:Milosz Hebda,Q11784099
Held,Tim,ITA,File:Tim Held (Legavolley 2017).jpg,Category:Tim Held,Q46994775
Holt,Maxwell Philip,USA,File:Maxwell Philip Holt (Legavolley 2017).jpg,Category:Maxwell Holt,Q3853142
Hoogendoorn,Sjoerd,NED,File:Sjoerd Hoogendoorn (Legavolley 2017).jpg,Category:Sjoerd Hoogendoorn,Q18702691
Iglesias,Arturo,PUR,File:Arturo Iglesias (Legavolley 2017).jpg,Category:Arturo Iglesias,Q28668848
Ingrosso,Paolo,ITA,File:Paolo Ingrosso (Legavolley 2017).jpg,Category:Paolo Ingrosso,Q13518674
Innocenti,Luca,ITA,File:Luca Innocenti (Legavolley 2017).jpg,Category:Luca Innocenti,Q46994781
Ippolito,Andrea,ITA,File:Andrea Ippolito (Legavolley 2017).jpg,Category:Andrea Ippolito,Q46994782
Ishikawa,Yuki,JPN,File:Yuki Ishikawa (Legavolley 2017).jpg,Category:Yuki Ishikawa,Q18335658
Izzo,Marco,ITA,File:Marco Izzo (Legavolley 2017).jpg,Category:Marco Izzo,Q16575856
Jaeschke,Thomas,USA,File:Thomas Jaeschke (Legavolley 2017).jpg,Category:Thomas Jaeschke,Q20656074
Jovanovic,Igor,SRB,File:Igor Jovanovic (Legavolley 2017).jpg,Category:Igor Jovanovic,Q46996665
Juantorena,Osmany,ITA,File:Osmany Juantorena (Legavolley 2017).jpg,Category:Osmany Juantorena Portuondo,Q2657250
Kaminski,Conrad,USA,File:Conrad Kaminski (Legavolley 2017).jpg,Category:Conrad Kaminski,Q27553582
Katalan,Nicolò,ITA,File:Nicolò Katalan (Legavolley 2017).jpg,Category:Nicolò Katalan,Q46994785
Kindgard,Martin Alberto,ITA,File:Martin Alberto Kindgard (Legavolley 2017).jpg,Category:Martin Alberto Kindgard,Q46994788
Kovacevic,Uros,SRB,File:Uros Kovacevic (Legavolley 2017).jpg,Category:Uros Kovacevic,Q166823
Kovar,Jiri,ITA,File:Jiri Kovar (Legavolley 2017).jpg,Category:Jiří Kovář,Q3179259
Kozamernik,Jan,SLO,File:Jan Kozamernik (Legavolley 2017).jpg,Category:Jan Kozamernik,Q22278706
Lanci,Andrea,ITA,File:Andrea Lanci (Legavolley 2017).jpg,Category:Andrea Lanci,Q46994820
Langlois,Jake,USA,File:Jake Langlois (Legavolley 2017).jpg,Category:Jake Langlois,Q42671321
Lanza,Filippo,ITA,File:Filippo Lanza (Legavolley 2017).jpg,Category:Filippo Lanza,Q3745230
Larizza,Jacopo,ITA,File:Jacopo Larizza (Legavolley 2017).jpg,Category:Jacopo Larizza,Q46994824
