Name,Surname,Nome file,Wikidata ID
Michele,Gatto,Michele Gatto (Legavolley 2011),Q55265809
Mario,Gaudieri,Mario Gaudieri (Legavolley 2014),Q55265810
Filip,Gavenda,Filip Gavenda (Legavolley 2015),Q21282216
Mauro,Gavotto,Mauro Gavotto (Legavolley 2014),Q3852835
Baptiste,Geiler,Baptiste Geiler (Legavolley 2016),Q2883670
Andrea,Gelasio,Andrea Gelasio (Legavolley 2011),Q55265813
Lorenzo,Gemmi,Lorenzo Gemmi (Legavolley 2014),Q3836961
Umberto,Gerosa,Umberto Gerosa (Legavolley 2016),Q55265818
Giacomo,Ghibaudo,Giacomo Ghibaudo (Legavolley 2015),Q55265822
Emiliano,Giglioli,Emiliano Giglioli (Legavolley 2016),Q3724291
Leondino,Giombini,Leondino Giombini (Legavolley 2013),Q1620010
Luca,Girolami,Luca Girolami (Legavolley 2016),Q55265826
Javier,Gonzalez,Javier Gonzalez (Legavolley 2013),Q3163148
Juan Manuel,Gonzalez,Juan Manuel Gonzalez (Legavolley 2013),Q16875583
Svetoslav,Gotsev,Svetoslav Gotsev (Legavolley 2016),Q15643904
Matteo,Granito,Matteo Granito (Legavolley 2015),Q55265839
Nicola,Grassi,Nicola Grassi (Legavolley 2012),Q55265842
Marco,Grasso,Marco Grasso (Legavolley 2012),Q55265838
Nikola,Grbic,Nikola Grbic (Legavolley 2013),Q715898
Marcel,Gromadowski,Marcel Gromadowski (Legavolley 2013),Q3289004
Michele,Groppi,Michele Groppi (Legavolley 2017),Q55265849
Branimir,Grozdanov,Branimir Grozdanov (Legavolley 2016),Q22278041
Piotr,Gruszka,Piotr Gruszka (Legavolley 2011),Q2414507
Emanuel,Guazzaroni,Emanuel Guazzaroni (Legavolley 2012),Q55265854
Michel,Guemart,Michel Guemart (Legavolley 2014),Q17285003
Giorgio,Guglielmo,Giorgio Guglielmo (Legavolley 2013),Q55265870
Andrea,Guido,Andrea Guido (Legavolley 2012),Q55265875
Matteo,Guidone,Matteo Guidone (Legavolley 2015),Q55265879
Edoardo,Gulli,Edoardo Gulli (Legavolley 2012),Q55265881
Marcus,Guttmann,Marcus Guttmann (Legavolley 2013),Q2776711
Gérald,Hardy-Dessources,Gérald Hardy-Dessources (Legavolley 2011),Q3123631
Niki,Hendriks,Niki Hendriks (Legavolley 2016),Q16268448
Hubert,Henno,Hubert Henno (Legavolley 2014),Q2529650
Fernando,Hernandez Ramos,Fernando Hernandez Ramos (Legavolley 2016),Q9259135
Raydel,Hierrezuelo,Raydel Hierrezuelo (Legavolley 2016),Q7298426
Marcelo,Hister,Marcelo Hister (Legavolley 2016),Q55265883
Sam,Holt,Sam Holt (Legavolley 2017),Q22350672
