Name,Surname,Nome file,Wikidata ID
Jose Manuel,Rivera Caamano,Jose Manuel Rivera Caamano (Legavolley 2011),Q3186547
Salvatore,Roberti,Salvatore Roberti (Legavolley 2017),Q55266436
Alain Addys,Roca Borrero,Alain Addys Roca Borrero (Legavolley 2011),Q3607653
Daniel,Rocamora,Daniel Rocamora (Legavolley 2012),Q22280077
Emanuele,Rodella,Emanuele Rodella (Legavolley 2016),Q55266440
Israel,Rodriguez,Israel Rodriguez (Legavolley 2011),Q3803401
Sean,Rooney,Sean Rooney (Legavolley 2011),Q1893361
Gregor,Ropret,Gregor Ropret (Legavolley 2016),Q19663925
Simone,Rosalba,Simone Rosalba (Legavolley 2012),Q593499
Lorenzo,Rossi,Lorenzo Rossi (Legavolley 2014),Q55266457
Nicolas,Roumeliotis,Nicolas Roumeliotis (Legavolley 2011),Q55266463
Tomas,Rousseaux,Tomas Rousseaux (Legavolley 2015),Q21207025
Antonin,Rouzier,Antonin Rouzier (Legavolley 2013),Q2857142
Gabriele,Rudi,Gabriele Rudi (Legavolley 2016),Q55266464
Roberto,Ruggeri,Roberto Ruggeri (Legavolley 2011),Q55266465
Ivan Benito,Ruiz,Ivan Benito Ruiz (Legavolley 2013),Q3804969
Giorgio,Russo,Giorgio Russo (Legavolley 2013),Q55266468
Massimiliano,Russo,Massimiliano Russo (Legavolley 2011),Q16268722
Renato,Russomanno Dos Santos,Renato Russomanno Dos Santos (Legavolley 2016),Q18280440
Lucas,Saatkamp,Lucas Saatkamp (Legavolley 2015),Q1352837
Davide,Saitta,Davide Saitta (Legavolley 2013),Q3703617
Andrea,Sala,Andrea Sala (Legavolley 2015),Q3616025
Davide,Sala,Davide Sala (Legavolley 2011),Q55266470
Jacopo,Sala,Jacopo Sala (Legavolley 2016),Q55266472
Tuomas,Sammelvuo,Tuomas Sammelvuo (Legavolley 2011),Q655863
Paul,Sanderson,Paul Sanderson (Legavolley 2014),Q22280283
Giulio,Santilli,Giulio Santilli (Legavolley 2016),Q55266482
Simone,Sardanelli,Simone Sardanelli (Legavolley 2017),Q16606373
Davide,Sarnari,Davide Sarnari (Legavolley 2012),Q55266496
Luca,Sartoretti,Luca Sartoretti (Legavolley 2015),Q16268746
Andrea,Sartori,Andrea Sartori (Legavolley 2016),Q55266484
Emanuele,Sborgia,Emanuele Sborgia (Legavolley 2013),Q3723997
Riccardo,Scaltriti,Riccardo Scaltriti (Legavolley 2016),Q55266512
Leonardo,Scanferla,Leonardo Scanferla (Legavolley 2017),Q55266508
Mario,Scappaticcio,Mario Scappaticcio (Legavolley 2015),Q3849088
Enrico,Scarpi,Enrico Scarpi (Legavolley 2013),Q16867091
Patrick,Schwagler,Patrick Schwagler (Legavolley 2014),Q21587893
Sebastian,Schwarz,Sebastian Schwarz (Legavolley 2012),Q74494
Giuseppe,Scialò,Giuseppe Scialò (Legavolley 2013),Q55266519
Fabio,Scio,Fabio Scio (Legavolley 2016),Q55266518
Salvo,Scolaro,Salvo Scolaro (Legavolley 2012),Q55266524
Lorenzo,Scuderi,Lorenzo Scuderi (Legavolley 2012),Q55266528
Marko,Sedlacek,Marko Sedlacek (Legavolley 2015),Q24953764
Andrea,Semenzato,Andrea Semenzato (Legavolley 2014),Q1134586
Valdir,Sequeira,Valdir Sequeira (Legavolley 2011),Q9368114
Sergio,Seregni,Sergio Seregni (Legavolley 2013),Q55266541
Filip,Sestan,Filip Sestan (Legavolley 2016),Q23761862
Giuseppe,Sette,Giuseppe Sette (Legavolley 2013),Q55266550
Konstantin,Shumov,Konstantin Shumov (Legavolley 2014),Q1456040
Mory,Sidibé,Mory Sidibé (Legavolley 2011),Q3324654
Nicholas,Sighinolfi,Nicholas Sighinolfi (Legavolley 2016),Q22069566
Gianluca,Signorelli,Gianluca Signorelli (Legavolley 2014),Q55266565
Antti,Siltala,Antti Siltala (Legavolley 2012),Q2857678
Ventceslav,Simeonov,Ventceslav Simeonov (Legavolley 2011),Q2316242
Robertlandy,Simon,Robertlandy Simon (Legavolley 2013),Q2645150
Lucas,Simone,Lucas Simone (Legavolley 2011),Q55266568
Giacomo,Sintini,Giacomo Sintini (Legavolley 2014),Q1074873
Luca,Sirri,Luca Sirri (Legavolley 2013),Q55266573
Alen,Sket,Alen Sket (Legavolley 2015),Q9147004
Todor,Skrimov,Todor Skrimov (Legavolley 2016),Q554628
Lorenzo,Smerilli,Lorenzo Smerilli (Legavolley 2013),Q3837080
Luke,Smith,Luke Smith (Legavolley 2012),Q16233583
Sebastian,Solé,Sebastian Solé (Legavolley 2016),Q553806
Pietro,Soli,Pietro Soli (Legavolley 2016),Q55266592
Luca,Sorato,Luca Sorato (Legavolley 2011),Q55266598
Mattia,Sorrenti,Mattia Sorrenti (Legavolley 2014),Q55266599
Simone,Spescha,Simone Spescha (Legavolley 2012),Q16268775
Giuseppe,Spicolo,Giuseppe Spicolo (Legavolley 2013),Q55266612
Patrick,Steuerwald,Patrick Steuerwald (Legavolley 2013),Q89348
Jan,Stokr,Jan Stokr (Legavolley 2016),Q3495798
Simone,Straino,Simone Straino (Legavolley 2015),Q55266629
Nicola,Straolzini,Nicola Straolzini (Legavolley 2014),Q55266627
Bojan,Strugar,Bojan Strugar (Legavolley 2016),Q23761663
Vittorio,Suglia,Vittorio Suglia (Legavolley 2014),Q55266631
Luka,Suljagic,Luka Suljagic (Legavolley 2016),Q3266997
Joseph Richard,Sunder,Joseph Richard Sunder (Legavolley 2014),Q15630708
Andrea,Surace,Andrea Surace (Legavolley 2013),Q55266644
Donald,Suxho,Donald Suxho (Legavolley 2013),Q1240401
Dàvid,Szabo,Dàvid Szabo (Legavolley 2013),Q3716947
Matteo,Tabanelli,Matteo Tabanelli (Legavolley 2012),Q55266645
Daniele,Tailli,Daniele Tailli (Legavolley 2015),Q16546559
Michele,Tamborra,Michele Tamborra (Legavolley 2012),Q55266653
Catalin Julian,Tataru,Catalin Julian Tataru (Legavolley 2015),Q55266658
Futi,Tavana,Futi Tavana (Legavolley 2012),Q15780331
Miguel,Tavares Rodrigues,Miguel Tavares Rodrigues (Legavolley 2015),Q23761647
Bruno,Temponi Araujo,Bruno Temponi Araujo (Legavolley 2014),Q55264468
Luca,Tencati,Luca Tencati (Legavolley 2016),Q3265009
Thijs,Ter Horst,Thijs Ter Horst (Legavolley 2015),Q16615624
Lorenzo,Tescaro,Lorenzo Tescaro (Legavolley 2013),Q55266662
Simone,Testalepre,Simone Testalepre (Legavolley 2015),Q55266665
Raphael,Thiago De Oliveira,Raphael Thiago De Oliveira (Legavolley 2011),Q18280320
Stefano,Thiaw,Stefano Thiaw (Legavolley 2013),Q16878820
Linus,Tholse,Linus Tholse (Legavolley 2011),Q3833132
Nicolas Jesus,Tibaldo,Nicolas Jesus Tibaldo (Legavolley 2011),Q55266676
Kevin,Tillie,Kevin Tillie (Legavolley 2013),Q3201170
Riccardo,Tobaldi,Riccardo Tobaldi (Legavolley 2013),Q55266678
Alessandro,Tofoli,Alessandro Tofoli (Legavolley 2016),Q55266688
Giacomo,Tomasello,Giacomo Tomasello (Legavolley 2014),Q55266689
Benjamin,Toniutti,Benjamin Toniutti (Legavolley 2014),Q2896253
Maximo,Torcello,Maximo Torcello (Legavolley 2011),Q23417100
Paolo,Torre,Paolo Torre (Legavolley 2016),Q3362670
Maurice Armando,Torres,Maurice Armando Torres (Legavolley 2016),Q15817981
Lorenzo,Tosi,Lorenzo Tosi (Legavolley 2013),Q55266692
Angel,Trinidad De Haro,Angel Trinidad De Haro (Legavolley 2013),Q16623970
Murphy Edward,Troy,Murphy Edward Troy (Legavolley 2012),Q9281055
Jari,Tuominen,Jari Tuominen (Legavolley 2011),Q3162730
Fabrizio,Turco,Fabrizio Turco (Legavolley 2016),Q55266698
Nikolay,Uchikov,Nikolay Uchikov (Legavolley 2012),Q16395220
Riccardo,Valla,Riccardo Valla (Legavolley 2016),Q55266705
Simon,Van De Voorde,Simon Van De Voorde (Legavolley 2016),Q14339789
Bram,Van Den Dries,Bram Van Den Dries (Legavolley 2012),Q3643587
Yannick,Van Harskamp,Yannick Van Harskamp (Legavolley 2012),Q9383357
Toon,Van Lankvelt,Toon Van Lankvelt (Legavolley 2011),Q3531986
Floris,Van Rekom,Floris Van Rekom (Legavolley 2012),Q17285799
Gert,Van Walle,Gert Van Walle (Legavolley 2013),Q3761321
Andrea,Vanini,Andrea Vanini (Legavolley 2016),Q55266707
Peter,Veres,Peter Veres (Legavolley 2014),Q1136279
Matthijs,Verhanneman,Matthijs Verhanneman (Legavolley 2012),Q2913265
Valerio,Vermiglio,Valerio Vermiglio (Legavolley 2016),Q2737948
Jakub,Vesely,Jakub Vesely (Legavolley 2012),Q3160694
Jaime,Viafara,Jaime Viafara (Legavolley 2012),Q55266733
Marco,Vianello,Marco Vianello (Legavolley 2014),Q19414212
Raphael,Vieira De Oliveira,Raphael Vieira De Oliveira (Legavolley 2012),Q3930206
Cristian ,Vigilante,Cristian  Vigilante (Legavolley 2011),Q55266736
Andres,Villena,Andres Villena (Legavolley 2014),Q16526580
Alessandro,Vinella,Alessandro Vinella (Legavolley 2011),Q55266749
Marco,Visentin,Marco Visentin (Legavolley 2016),Q16575947
Simone,Vitangeli,Simone Vitangeli (Legavolley 2016),Q55266764
Alessandro,Vitanza,Alessandro Vitanza (Legavolley 2013),Q55266759
Giacomo,Viva,Giacomo Viva (Legavolley 2011),Q55266765
Goran,Vujevic,Goran Vujevic (Legavolley 2014),Q44406
Samuel,Walker,Samuel Walker (Legavolley 2014),Q55266777
Chen,Wang,Chen Wang (Legavolley 2014),Q55266785
Adam,White,Adam White (Legavolley 2014),Q4679973
Wout,Wijsmans,Wout Wijsmans (Legavolley 2012),Q512605
Lincoln Alexander,Williams,Lincoln Alexander Williams (Legavolley 2013),Q6551180
Kyle,Williamson,Kyle Williamson (Legavolley 2013),Q55266793
Boyan,Yordanov,Boyan Yordanov (Legavolley 2011),Q2622665
Jonathan,Zaccaria,Jonathan Zaccaria (Legavolley 2011),Q55266795
Enrico,Zampetti,Enrico Zampetti (Legavolley 2013),Q55266797
Matteo,Zamponi,Matteo Zamponi (Legavolley 2012),Q55266803
Renan,Zanatta Buiatti,Renan Zanatta Buiatti (Legavolley 2015),Q15985076
Andrea,Zancla,Andrea Zancla (Legavolley 2013),Q55266804
Mauricio,Zanette Mugnaini,Mauricio Zanette Mugnaini (Legavolley 2017),Q55266808
Bruno,Zanuto,Bruno Zanuto (Legavolley 2014),Q11688938
Andrey Georgiev,Zhekov,Andrey Georgiev Zhekov (Legavolley 2011),Q2617159
Tsimafei,Zhukouski,Tsimafei Zhukouski (Legavolley 2017),Q3999949
Marco,Zingaro,Marco Zingaro (Legavolley 2011),Q55266812
Giuseppe,Zito,Giuseppe Zito (Legavolley 2013),Q55266817
Hristo,Zlatanov,Hristo Zlatanov (Legavolley 2016),Q2294149
Francois,Zonno,Francois Zonno (Legavolley 2016),Q55266833
Lukasz,Zygadlo,Lukasz Zygadlo (Legavolley 2014),Q384174
