Filename,"Personal category"
"File:Massimo Botti (Legavolley 2011).jpg","Category:Massimo Botti"
"File:Massimo Pecorari (Legavolley 2011).jpg","Category:Massimo Pecorari"
"File:Matteo Cacchiarelli (Legavolley 2011).jpg","Category:Matteo Cacchiarelli"
"File:Matthew Anderson (Legavolley 2011).jpg","Category:Matthew Anderson"
"File:Maximo Torcello (Legavolley 2011).jpg","Category:Maximo Torcello"
"File:Michele De Caria (Legavolley 2011).jpg","Category:Michele De Caria"
"File:Michele De Giorgi (Legavolley 2011).jpg","Category:Michele De Giorgi"
"File:Michele Gatto (Legavolley 2011).jpg","Category:Michele Gatto"
"File:Michele Nonne (Legavolley 2011).jpg","Category:Michele Nonne"
"File:Mikko Esko (Legavolley 2011).jpg","Category:Mikko Esko"
"File:Milan Lizala (Legavolley 2011).jpg","Category:Milan Lizala"
"File:Mirko Corsano (Legavolley 2011).jpg","Category:Mirko Corsano"
"File:Mory Sidibé (Legavolley 2011).jpg","Category:Mory Sidibé"
"File:Niccolò Lattanzi (Legavolley 2011).jpg","Category:Niccolò Lattanzi"
"File:Nicolas Jesus Tibaldo (Legavolley 2011).jpg","Category:Nicolas Jesus Tibaldo"
"File:Nicolas Roumeliotis (Legavolley 2011).jpg","Category:Nicolas Roumeliotis"
"File:Nikolay Nikolov (Legavolley 2011).jpg","Category:Nikolay Nikolov"
"File:Nikolay Zarkov Penchev (Legavolley 2011).jpg",
"File:Novica Bjelica (Legavolley 2011).jpg","Category:Novica Bjelica"
"File:Paolo Emilio Baldaccini (Legavolley 2011).jpg","Category:Paolo Emilio Baldaccini"
"File:Paolo Fusaro (Legavolley 2011).jpg","Category:Paolo Fusaro"
"File:Piotr Gruszka (Legavolley 2011).jpg","Category:Piotr Gruszka"
"File:Raphael Thiago De Oliveira (Legavolley 2011).jpg","Category:Raphael Thiago De Oliveira"
"File:Ricardo De Paula (Legavolley 2011).jpg","Category:Ricardo De Paula"
"File:Richard Nemec (Legavolley 2011).jpg","Category:Richard Nemec"
"File:Robert Kromm (Legavolley 2011).jpg","Category:Robert Kromm"
"File:Roberto Ruggeri (Legavolley 2011).jpg","Category:Roberto Ruggeri"
"File:Rodrigo Daniel Quiroga (Legavolley 2011).jpg","Category:Rodrigo Daniel Quiroga"
"File:Ryan Ammerman (Legavolley 2011).jpg","Category:Ryan Ammerman"
"File:Sean Rooney (Legavolley 2011).jpg","Category:Sean Rooney (volleyball)"
"File:Sergio Boroni (Legavolley 2011).jpg","Category:Sergio Boroni"
"File:Simo-Pekka Olli (Legavolley 2011).jpg","Category:Simo-Pekka Olli"
"File:Simone Bendandi (Legavolley 2011).jpg","Category:Simone Bendandi"
"File:Simone Marini (Legavolley 2011).jpg","Category:Simone Marini"
"File:Stefano Mignolo (Legavolley 2011).jpg","Category:Stefano Mignolo"
"File:Steve Brinkman (Legavolley 2011).jpg","Category:Steve Brinkman"
"File:Szabolcs Nemeth (Legavolley 2011).jpg","Category:Szabolcs (given name)"
"File:Theodore Brunner (Legavolley 2011).jpg",
"File:Thomas Ereu (Legavolley 2011).jpg","Category:Thomas Ereu"
"File:Todor Aleksiev (Legavolley 2011).jpg","Category:Todor Aleksiev"
"File:Toon Van Lankvelt (Legavolley 2011).jpg","Category:Toon Van Lankvelt"
"File:Travis Passier (Legavolley 2011).jpg","Category:Travis Passier"
"File:Tuomas Sammelvuo (Legavolley 2011).jpg","Category:Tuomas Sammelvuo"
"File:Valdir Sequeira (Legavolley 2011).jpg","Category:Valdir Sequeira"
"File:Valentin Bratoev (Legavolley 2011).jpg","Category:Valentin Bratoev"
"File:Ventceslav Simeonov (Legavolley 2011).jpg","Category:Ventceslav Simeonov"
"File:Vito Insalata (Legavolley 2011).jpg","Category:Vito Insalata"
"File:Vito Iurlaro (Legavolley 2011).jpg","Category:Vito Iurlaro"
"File:Vladimir Nikolov (Legavolley 2011).jpg","Category:Vladimir Nikolov"
"File:Vlado Petkovic (Legavolley 2011).jpg","Category:Vlado Petkovic"
"File:Yasim Youssif Al Nabhan (Legavolley 2011).jpg","Category:Yasim Youssif Al Nabhan"
"File:Yu Koshikawa (Legavolley 2011).jpg","Category:Yu Koshikawa"
"File:Alberto Celestini (Legavolley 2012).jpg","Category:Alberto Celestini"
"File:Alex Ranghieri (Legavolley 2012).jpg","Category:Alex Ranghieri"
"File:Andrea Antonaci (Legavolley 2012).jpg","Category:Andrea Antonaci"
"File:Andrea Cauteruccio (Legavolley 2012).jpg","Category:Andrea Cauteruccio"
"File:Andrea Guido (Legavolley 2012).jpg","Category:Andrea Guido"
"File:Andrii Diachkov (Legavolley 2012).jpg","Category:Andrii Diachkov"
"File:Antonio Lavia (Legavolley 2012).jpg","Category:Antonio Lavia"
"File:Antonio Ricciardello (Legavolley 2012).jpg","Category:Antonio Ricciardello"
"File:Antti Siltala (Legavolley 2012).jpg","Category:Antti Siltala"
"File:Athanasios Psarras (Legavolley 2012).jpg","Category:Athanasios Psarras"
"File:Axel Jacobsen (Legavolley 2012).jpg","Category:Axel Jacobsen"
"File:Balsa Radunovic (Legavolley 2012).jpg","Category:Balsa Radunovic"
"File:Bradley Lawson Colgate (Legavolley 2012).jpg","Category:Bradley Lawson Colgate"
"File:Bram Van Den Dries (Legavolley 2012).jpg","Category:Bram Van den Dries"
"File:Carlo Castellani (Legavolley 2012).jpg","Category:Carlo Castellani"
"File:Carlo Mor (Legavolley 2012).jpg","Category:Carlo Mor"
"File:Carlo Rispoli (Legavolley 2012).jpg","Category:Carlo Rispoli"
"File:Claudio Nardi (Legavolley 2012).jpg","Category:Claudio Nardi"
"File:Damir Kosmina (Legavolley 2012).jpg","Category:Damir Kosmina"
"File:Daniel Rocamora (Legavolley 2012).jpg","Category:Daniel Rocamora"
"File:Daniele Bassi (Legavolley 2012).jpg","Category:Daniele Bassi"
"File:Daniele Postiglioni (Legavolley 2012).jpg","Category:Daniele Postiglioni"
"File:Davide Sarnari (Legavolley 2012).jpg","Category:Davide Sarnari"
"File:Dick Kooy (Legavolley 2012).jpg","Category:Dick Kooy"
"File:Edoardo Ciabattini (Legavolley 2012).jpg","Category:Edoardo Ciabattini"
"File:Edoardo Gulli (Legavolley 2012).jpg","Category:Edoardo Gulli"
"File:Emanuel Guazzaroni (Legavolley 2012).jpg","Category:Emanuel Guazzaroni"
"File:Emanuele Caporaletti (Legavolley 2012).jpg","Category:Emanuele Caporaletti"
"File:Fabio Muzio (Legavolley 2012).jpg","Category:Fabio Muzio"
"File:Filippo Belcecchi (Legavolley 2012).jpg","Category:Filippo Belcecchi"
"File:Filippo Mazzotti (Legavolley 2012).jpg","Category:Filippo Mazzotti"
"File:Floris Van Rekom (Legavolley 2012).jpg","Category:Floris Van Rekom"
"File:Francesco Biribanti (Legavolley 2012).jpg","Category:Francesco Biribanti"
"File:Francesco Corsini (Legavolley 2012).jpg","Category:Francesco Corsini"
"File:Francesco Mattioli (Legavolley 2012).jpg","Category:Francesco Mattioli"
"File:Futi Tavana (Legavolley 2012).jpg","Category:Futi Tavana"
"File:Garrett Muagututia (Legavolley 2012).jpg","Category:Garrett Muagututia"
"File:Gianluca Pellegrino (Legavolley 2012).jpg","Category:Gianluca Pellegrino"
"File:Gianluca Piccinini (Legavolley 2012).jpg","Category:Gianluca Piccinini"
"File:Giorgio Barbareschi (Legavolley 2012).jpg","Category:Giorgio Barbareschi"
"File:Giovanni Polidori (Legavolley 2012).jpg","Category:Giovanni Polidori"
"File:Gundars Celitans (Legavolley 2012).jpg","Category:Gundars Celitans"
"File:Harrison Peacock (Legavolley 2012).jpg","Category:Harrison Peacock"
"File:Jaime Viafara (Legavolley 2012).jpg","Category:Jaime Viafara"
"File:Jakub Jarosz (Legavolley 2012).jpg","Category:Jakub Jarosz"
"File:Jakub Vesely (Legavolley 2012).jpg","Category:Jakub Vesely"
"File:Jeffrey Menzel (Legavolley 2012).jpg","Category:Jeffrey Menzel"
"File:Josè Matheus (Legavolley 2012).jpg","Category:Josè Matheus"
"File:José Miguel Caceres (Legavolley 2012).jpg","Category:José Miguel Caceres"
