id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,URLFoto
CAT-DAM-01,Catania,Damiano,180,28/03/2001,ITA,Catania,ITA,Materdominivolley.it Castellana Grotte,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAT-DAM-01
CAT-LUC-91,Catellani,Luca,184,26/02/1991,ITA,Correggio,ITA,Conad Reggio Emilia,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAT-LUC-91
CAT-STE-92,Catena,Stefano,204,22/03/1992,ITA,Civitavecchia,ITA,Sigma Aversa,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAT-STE-92
CAU-AND-79,Cauteruccio,Andrea,180,25/04/1979,ITA,Milano,ITA,Vero Volley Monza,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAU-AND-79
CAV-DOM-87,Cavaccini,Domenico,178,13/03/1987,ITA,Salerno,ITA,Bcc Castellana Grotte,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAV-DOM-87
CAV-MAX-88,Cavanna,Maximiliano,188,02/07/1988,ARG,Buenos Aires,ARG,CMC Romagna,2015,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAV-MAX-88
CAV-ORE-96,Cavuto,Oreste,199,05/12/1996,ITA,Lanciano,ITA,Diatec Trentino,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAV-ORE-96
CAZ-ROB-79,Cazzaniga,Roberto,198,28/10/1979,ITA,Milano,ITA,Bcc Castellana Grotte,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAZ-ROB-79
CEB-KLE-92,Cebulj,Klemen,202,21/02/1992,SLO,Slovenj Gradec,SLO,Revivre Milano,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEB-KLE-92
CEC-EDG-98,Ceccoli,Edgardo,183,30/07/1998,ITA,Pescara,ITA,Sieco Service Ortona,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEC-EDG-98
CEC-NIC-88,Cecato,Nicola,185,11/02/1988,ITA,Jesi,ITA,Videx Grottazzolina,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEC-NIC-88
CEL-ALB-95,Celestini,Alberto,190,26/06/1995,ITA,Città di Castello,ITA,Gherardi SVI Città di Castello,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEL-ALB-95
CEL-GUN-85,Celitans,Gundars,202,14/06/1985,LAT,Daugavpils,LAT,Casa Modena,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEL-GUN-85
CEN-FED-92,Centomo,Federico,182,11/11/1992,ITA,Verona,ITA,Calzedonia Verona,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CEN-FED-92
CER-AND-85,Cerbo,Andrea,184,21/05/1985,ITA,Milano,ITA,Revivre Milano,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CER-AND-85
CER-MAT-78,Cernic,Matej,194,13/09/1978,ITA,Gorizia,ITA,Maury's Italiana Assicurazioni Tuscania,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CER-MAT-78
CES-AND-87,Cesarini,Andrea,180,22/07/1987,ITA,Roma,ITA,Sir Safety Conad Perugia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CES-AND-87
CES-DAV-97,Cester,Davide,196,05/03/1997,ITA,Motta di Livenza,ITA,Conad Reggio Emilia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CES-DAV-97
CES-ENR-88,Cester,Enrico,204,16/03/1988,ITA,Motta di Livenza,ITA,Cucine Lube Civitanova,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CES-ENR-88
CET-LEA-86,Cetrullo,Leano,198,08/09/1986,ITA,Chieti,ITA,Gioiella Micromilk Gioia del Colle,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CET-LEA-86
CHA-ALE-98,Chadtchyn,Alexander,204,05/09/1998,ITA,Scandiano,ITA,Materdominivolley.It Castellana Grotte,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHA-ALE-98
CHE-VEL-95,Chernokozhev,Velizar,212,23/04/1995,BUL,Tryavna,BUL,Sir Safety Conad Perugia,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHE-VEL-95
CHI-MAT-93,Chiappa,Matteo,190,06/07/1993,ITA,Milano,ITA,Diatec Trentino,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHI-MAT-93
CHI-STE-99,Chillemi,Stefano,194,20/02/1999,ITA,Ragusa,ITA,Messaggerie Bacco Catania,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHI-STE-99
CHR-MIC-93,Christenson,Micah,198,08/05/1993,USA,Honolulu,USA,Cucine Lube Civitanova,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHR-MIC-93
CHR-STE-89,Chrtiansky Jr,Stefan,207,17/08/1989,SVK,Detva,SVK,Itas Diatec Trentino,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CHR-STE-89
CIA-ALE-95,Ciavarella,Alessandro,195,19/12/1995,ITA,Foggia,ITA,Materdominivolley.it Castellana Grotte,2013,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIA-ALE-95
CIA-EDO-89,Ciabattini,Edoardo,180,18/09/1989,ITA,San Miniato,ITA,Elettrosud Brolo,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIA-EDO-89
CIC-FOS-74,Cicola,Fosco,192,02/07/1974,ITA,Roma,ITA,Ceramica Globo Civita Castellana,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIC-FOS-74
CIO-MAS-92,Cioffi,Massimiliano,195,24/07/1992,ITA,Milano,ITA,Caloni Agnelli Bergamo,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIO-MAS-92
CIR-ALE-96,Cirocco,Alessandro,198,28/07/1996,ITA,Benevento,ITA,Materdominivolley.it Castellana Grotte,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIR-ALE-96
CIR-LAZ-92,Cirovic,Lazar,200,26/02/1992,SRB,Kragujevac,SRB,Kioene Padova,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIR-LAZ-92
CIS-ALB-77,Cisolla,Alberto,198,10/10/1977,ITA,Treviso,ITA,Centrale Del Latte McDonald'S Brescia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIS-ALB-77
CIT-ALB-95,Cito,Alberto,NULL,21/04/1995,ITA,Putignano,ITA,BCC-NEP Castellana Grotte,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIT-ALB-95
CIT-MAR-84,Cittadino,Marco,201,23/03/1984,ITA,Lamezia Terme,ITA,Globo Banca Popolare del Frusinate Sora,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIT-MAR-84
CIU-FIL-94,Ciulli,Filippo,203,07/07/1994,ITA,Poggibonsi,ITA,Kemas Lamipel Santa Croce,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIU-FIL-94
CIV-VIN-94,Civita,Vincenzo,196,16/05/1994,ITA,Trani,ITA,Materdominivolley.it Castellana Grotte,2013,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CIV-VIN-94
CLE-TRE-94,Clevenot,Trevor,199,28/06/1994,FRA,Royan,FRA,Wixo LPR Piacenza,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CLE-TRE-94
COA-AND-92,Coali,Andrea,201,16/12/1992,ITA,Trento,ITA,Calzedonia Verona,2013,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=COA-AND-92
