0COLY,ferdinand-coly
CBRLN,leandro-cabrera
CBRRF,rafael
CBRZQ,niccolo-cabras
CBSDRS,adrian-cubas
CCCMRN,mariano-coccia
CCDFL,felipe-caicedo
CCHFD,federico-ceccherini
CCRMT,martin-caceres
CCRPT,pietro-accardi
CDLNDR,andrea-cadili
CDMSM,assane-diousse
CDMSS,massimo-coda
CDNDR,andrea-coda
CDRJN,juan-cuadrado
CDWCM,andrea-fulignati
CENDA,davide-cenicola
CENMA,matteo-centurioni
CEVRO,roberto-cevoli
CFNMT,matteo-ciofani
CHAJO,jose-antonio-chamot
CHBSS,raman-chibsah
CHCHY,ivaylo-chochev
CHIRO,roberto-chiappara
CHLGR,giorgio-chiellini
CHNVN,vincenzo-chianese
CHRVD,vlad-chiriches
CIGAR,francesco-cigardi
CIOMAS,massimo-ciocci
CJOSE,jose-castillo
CKBTP,nicola-dalmonte
CKZLG,kalidou-koulibaly
CLBMMD,mamadou-coulibaly
CLFNT,antonio-cilfone
CLGFB,fabrizio-caligara
CLGNRC,enrico-celeghin
CLGTN,gaetano-cala-
CLHHK,hakan-calhanoglu
CLLDR,adrian-calello
CLLNS,jose-callejon
CLMSM,simone-colombi
CLPNDR,andrea-colpani
CMLVN,vincenzo-camilleri
CMPDN,nicola-campedelli
CMPDZ,matias-campos
CMPMC,michele-camporese
CNCJJ,joao-cancelo
CNDHMS,thomas-candeloro
CNDNT,antonio-candreva
CNDVN,vincent-candela
CNKTH,thiago-cionek
CNLND1,alessandro-iacuaniello
CNLNDR,alessandro-canella
CNNND,andrea-cennini
CNSND,andrea-consigli
CNSZH,edoardo-goldaniga
CNTLB,luis-centi
CNTMT,matteo-contini
CNTRW,ricardo-centurion
COFSC,isaac-cofie
COISA,sandro-cois
COLFRA,franco-colomba
COMGI,gianluca-comotto
CONFA,fabio-consagra
COPMAU,maurizio-coppola
COPPO,manuel-coppola
COSFR,francesco-cosenza
COZFR,francesco-cozza
CPLDN,daniele-capelli
CPNCR,ciro-capuano
CPNMR,marco-capuano
CPPCR,carmine-coppola
CPPLC,luca-ceppitelli
CPPMNC,domenico-coppola
CPRGN,gianluca-caprari
CPRMT,matteo-cipriani
CPTFR,francesco-caputo
CQFRB,robert-acquafresca
CQHFR,afriyie-acquah
CRBFN,francesco-acerbi
CRCDN,daniele-croce
CRCND,andrea-caracciolo
CRCNN,antonio-caracciolo
CRDNC,nicolas-cordova
CRDRB,roberto-cardinale
CRDZL,alex-cordaz
CRGLS,alessio-cragno
CRIFI,filippo-cristante
CRIGIA,gianni-cristiani
CRIPA,paolo-cristallini
CRLLL,bruno-cirillo
CRLRM,massimo-ciarlora
CRMCH,michele-cremonesi
CRMCM,carlos-carmona
CRMRC,marco-crimi
CRNMRC,marco-cerioni
CRNNX,andreas-cornelius
CRRBR,bernardo-corradi
CRRDV,davide-carrus
CRRNC,nicola-corrent
CRRRC,riccardo-corallo
CRS11,sebastian-cristoforo
CRSLS,alessandro-crescenzi
CRSRN,lorenzo-crisetig
CRVDN,daniele-corvia
CRVFD,federico-crovari
CRVRW,roberto-crivello
CSCRS,uros-cosic
CSRCH,achille-coser
CSRNDR,alessandro-cesaretti
CSSKR,karamoko-cisse-
CSSMT,mattia-cassani
CSSND,andrea-cossu
CSSNT,antonio-cassano
CSTDL,douglas-costa
CSTFW,filippo-costa
CSTLD,leandro-castan
CSTNR,andrea-costa
CSTPL,paolo-castellini
CSTRX,lucas-castro
CSTTY,timothy-castagne
CSVRL,davide-zuccolini
CTRDMR,damir-ceter-valencia
CTTMR,marcello-cottafava
CUDMR,mirko-cudini
CUIAND,andrea-cuicchi
CUTBN,benoit-cauet
CVLNTN,antonio-cavallo
CVTMN,seko-fofana
CZEPL,jaroslav-plasil
CZZLR,riccardo-cazzola
CZZMS,moris-carrozzieri
DAIDN,daniele-daino
DALAS,alessandro-dal-canto
DALLS,simone-dallamano
DBLPL,paulo-dybala
DBRSPP,giuseppe-di-bari
DBSMN,ousmane-dabo
DBTCH,cheick-diabate-
DBTLX,loick-landre
DBYMSS,moussa-diaby
DCGPL,paolo-de-ceglie
DCHGN,gianluca-di-chiara
DCHRP,miranda
DCNXN,aniello-viscovo
DCRGC,giacomo-dicara
DCRSL,saulo-decarli
DCSCR,ciro-de-cesare
DDDDX,dodo-
DDRDZ,daniele-cipolla
DDXDV,abdullahi-nura
DEASTE,stefano-de-agostini
DEFEU,eusebio-di-francesco
DEFGS,giuseppe-de-feudis
DELLOR,lorenzo-del-pinto
DELMA,marco-delvecchio
DEPVIN,pasquale-de-vincenzo
DFLCNZ,vincenzo-di-filippo
DFLNX,andrea-de-falco
DFRFD,federico-di-francesco
DFRGR,gregoire-defrel
DFTMD,andrija-balic
DGNDN,daniele-degano
DGRCRD,riccardo-daga
DGRLV,edgar-alvarez
DGTDS,m-baye-niang
DGZJH,jonathan-de-guzman
DIAMO,souleymane-diamoutene
DIASGI,gil-dias
DIASTE,stefano-dianda
DIBLU,luigi-di-biagio
DIGEN,davide-di-gennaro
DILEON,nicola-di-leo
DIMFAB,fabrizio-di-mauro
DINRT,arturo-di-napoli
DISFA,fabio-di-sauro
DIVMA,marco-di-vaio
DJDNL,daniel-adejo
DJJFL,filip-djordjevic
DJLNCK,zokohi-frank-alain-djoulou
DJMBR,berat-djimsiti
DLBCNN,ennio-dal-bianco
DLBNRQ,dalbert
DLCMN,manuel-de-luca
DLGCR,cristiano-del-grosso
DLGRS,alessandro-del-grosso
DLHGN,gennaro-delvecchio
DLLCQ,stefano-dall-acqua
DLLGV,giovanni-dall-igna
DLLLPP,filippo-delli-carri
DLLRHM,ibrahima-diallo
DLMRC,marco-di-loreto
DLPNRC,enrico-del-prato
DLSMR,marco-d-alessandro
DMBMB,domenico-bombara
DMCDV,david-di-michele
DMGRD,alejandro-rodriguez
DMNTT,alessandro-diamanti
DMRZN,damiano-zanon
DMSBS,sebastian-de-maio
DMZMR,maurizio-domizzi
DNCFN,daniel-ciofani
DNCSP,alfred-duncan
DNDNDR,andrea-donadello
DNDRF,rafael
DNFNX,jean-christophe-bahebeck
DNFRT,daniele-fortunato
DNGMRC,piermarco-d-angelo
DNHGD,godfred-donsah
DNLDR,dario-dainelli
DNLGG,daniele-gregori
DNNLSS,alessio-donnarumma
DNNNT,antonio-donnarumma
DNTMS,massimo-donati
DOLALD,aldo-dolcetti
DOPRA,guilherme-do-prado
DPLFB,fabio-depaoli
DPLRD,rodrigo-de-paul
DPNDRY,ndary-adopo
DPRFB,fabio-daprela-
DRCFLP,filip-djuricic
DRGWJ,bartlomiej-dragowski
DRMBK,boukary-drame-
DRMRT,eder
DRNMR,marten-de-roon
DRRSS,adriano-russo
DRSDN,daniele-de-rossi
DRXXR,ignacio-jeraldino
DSCMT,mattia-de-sciglio
DSSDN,daniele-dessena
DSSND,andrea-dossena
DSSNNN,noe-dussenne
DSSWL,wallace
DSTMT,mattia-destro
DSZLC,lucas-souza
DSZQN,stefan-de-vrij
DTRND,andrea-di-tora
DVDFW,mario-mandzukic
DVDLZ,davide-lanzafame
DVFNJ,divine-fonjock
DVRRB,roberto-d-aversa
DVTCR,crescenzo-de-vito
DVZDN,daniele-de-vezze
DWKHG,fabio-della-giovanna
DWLFK,dennis-praet
DWQPC,antonio-d-alena
DZKDN,edin-dzeko
DZMBL,blerim-dzemaili
ESPCA,carmine-esposito
FANNR,enrico-fantini
FARDV,davide-faraoni
FAREL,simone-farelli
FARIS,diego-farias
FAVAX,dino-fava
FBCRV,fabio-ceravolo
FBGRL,fabrizio-grillo
FBNLR,fabiano-rodrigues
FCFRL,deian-boldor
FCRGS,giuseppe-ficara
FDDNS,federico-dionisi
FDDZH,zouhair-feddal
FDLMT,matteo-fedele
FDPLS,federico-peluso
FDTFR,francesco-fedato
FDWTW,borja-valero
FELIP,felipe
FERFA,fabrizio-ferron
FGDWH,federico-chiesa
FGLGCM,giacomo-figliuzzi
FGLPL,paolo-foglio
FHWTC,bram-nuytinck
FILAN,antonio-filippini
FILEM,emanuele-filippini
FIOST,stefano-fiore
FKSND,giancarlo-gonzalez
FLCLG,luigi-falcone
FLNDG,diego-falcinelli
FLOCC,sergio-floccari
FLPFG,fabio-filippi
FLRLN,alessandro-florenzi
FLTCS,cesar-falletti
FNMCH,michele-fini
FNTAL,alberto-fontana
FNTHMS,thomas-fantoni
FONCA,daniel-fonseca
FONGA,gaetano-fontana
FPRDC,lorenzo-simonetti
FRARA,alessandro-frara
FRBNLC,gianluca-frabotta
FRDNDR,alessandro-fiordaliso
FRDWR,edward-ofere
FRESA,salvatore-fresi
FRGPL,paolo-farago-
FRGTVN,erick-steven-ferigra-burnham
FRLRM,remo-freuler
