id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,urlFoto
BER-MAT-88,Bertoli,Matteo,196,1988-07-28,ITA,Trento,ITA,Maury'S Italiana Assicurazioni Tuscania,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-MAT-88
BER-MIC-99,Bergoli,Michele,178,1999-07-07,ITA,Brescia,ITA,Centrale Del Latte Sferc Brescia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-MIC-99
BER-PAU-85,Bertassoni,Paulo Renan,185,1985-03-16,BRA,NULL,BRA,Kemas Lamipel Santa Croce,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-PAU-85
BER-SIM-99,Berardi,Simone,200,1999-06-08,ITA,Atessa,ITA,Sieco Service Ortona,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-SIM-99
BER-THO-90,Beretta,Thomas,205,1990-04-18,ITA,Milano,ITA,Vero Volley Monza,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-THO-90
BER-WIL-94,Bermudez,Willian Alejandro,205,1994-08-05,COL,Cali,COL,Globo Banca Popolare del Frusinate Sora,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BER-WIL-94
BEV-ALE-94,Bevilacqua,Alessandro,194,1994-12-29,ITA,Modena,ITA,Conad Reggio Emilia,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BEV-ALE-94
BIA-FED-01,Bianchini,Federico,173,2001-04-18,ITA,Civitanova Marche,ITA,Goldenplast Potenza Picena,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIA-FED-01
BIA-FRA-93,Bianco,Francesco,NULL,1993-03-23,ITA,Scafati,ITA,Materdominivolley.it Castellana Grotte,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIA-FRA-93
BIA-JUR-86,Bianchi,Juri,184,1986-04-21,ITA,Rimini,ITA,B-Chem Golden Plast Potenza Picena,2012,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIA-JUR-86
BIA-MAN-01,Biasotto,Manuel,204,2001-02-26,ITA,Genova,ITA,Club Italia Crai Roma,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIA-MAN-01
BID-JER-77,Bidegain,Jeronimo,201,1977-01-16,ARG,Buenos Aires,ARG,Sidigas Atripalda,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BID-JER-77
BIG-ALB-90,Bigarelli,Alberto,192,1990-06-05,ITA,Modena,ITA,Edilesse Conad Reggio Emilia,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIG-ALB-90
BIG-LUC-91,Bigarelli,Luca,197,1991-12-28,ITA,Correggio,ITA,Conad Lamezia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIG-LUC-91
BIG-OMA-95,Biglino,Omar,198,1995-08-09,ITA,Alba,ITA,Synergy Arapi F.lli Mondovì,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIG-OMA-95
BIR-EMA-81,Birarelli,Emanuele,202,1981-02-08,ITA,Senigallia,ITA,Calzedonia Verona,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIR-EMA-81
BIR-FRA-76,Biribanti,Francesco,198,1976-01-17,ITA,Terni,ITA,Conad Reggio Emilia,2012,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIR-FRA-76
BIS-FAB-94,Bisi,Fabio,202,1994-07-16,ITA,Modena,ITA,Centrale Del Latte Sferc Brescia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIS-FAB-94
BIS-GIA-83,Bisci,Gianluca,185,1983-07-19,ITA,Manduria,ITA,Pag Taviano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIS-GIA-83
BIS-MAT-89,Bisanti,Matteo,185,1989-01-19,ITA,Poggiardo,ITA,Aurispa Alessano,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIS-MAT-89
BIZ-CLA-95,Bizzotto,Claudio,197,1995-05-25,ITA,Bassano del Grappa,ITA,Conad Lamezia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BIZ-CLA-95
BJE-NOV-83,Bjelica,Novica,202,1983-02-09,CRO,Pula,SRB,M. Roma Volley,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BJE-NOV-83
BLA-ALE-92,Blasi,Alessandro,190,1992-03-22,ITA,Trieste,ITA,Diatec Trentino,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BLA-ALE-92
BLA-ALE-93,Blagojevic,Aleksandar,206,1993-01-18,AUT,Vienna,AUT,Exprivia Neldiritto Molfetta,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BLA-ALE-93
