FILE_WLINK,FILE_THUMB,TITLE,DESCRIPTION,LICENSE,DATE,AUTHOR,CREATOR_COMMONS_LINK,SIZE_TEMPLATE,MEDIUM,DOI_ID,SOURCE
"[[:File:Rovine del Palais de Justice.jpg]]","[[File:Rovine del Palais de Justice.jpg|100px]]",,"{{it|Rovine del Palais de Justice}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1871,Franck,[[Creator:Franck]],,"Materiale fotografico. Procedimento all'albumina",51605,https://iconoteca.arc.usi.ch/it/inventario/51605
"[[:File:Rovine del palazzo della Legion d'honneur.jpg]]","[[File:Rovine del palazzo della Legion d'honneur.jpg|100px]]","{{it|Ruines de Paris}}","{{it|Rovine del palazzo della Legion d'honneur}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1871,Franck,[[Creator:Franck]],,"Materiale fotografico. Procedimento all'albumina",51606,https://iconoteca.arc.usi.ch/it/inventario/51606
"[[:File:Rovine dell'Hôtel de Ville.jpg]]","[[File:Rovine dell'Hôtel de Ville.jpg|100px]]",,"{{it|Rovine dell'Hôtel de Ville}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1871,Franck,[[Creator:Franck]],,"Materiale fotografico",51607,https://iconoteca.arc.usi.ch/it/inventario/51607
"[[:File:Dettaglio delle rovine di un palazzo in rue du Bac.jpg]]","[[File:Dettaglio delle rovine di un palazzo in rue du Bac.jpg|100px]]","{{it|Ruines de Paris}}","{{it|Dettaglio delle rovine di un palazzo in rue du Bac}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1871,,,,"Materiale fotografico. Procedimento all'albumina",51608,https://iconoteca.arc.usi.ch/it/inventario/51608
"[[:File:Dettaglio delle rovine di un palazzo in rue de Lille.jpg]]","[[File:Dettaglio delle rovine di un palazzo in rue de Lille.jpg|100px]]","{{it|Ruine de Paris}}","{{it|Dettaglio delle rovine di un palazzo in rue de Lille}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1871,,,,"Materiale fotografico. Procedimento all'albumina",51609,https://iconoteca.arc.usi.ch/it/inventario/51609
"[[:File:Ritratti di nove eletti al Consiglio della Comune di Parigi.jpg]]","[[File:Ritratti di nove eletti al Consiglio della Comune di Parigi.jpg|100px]]","{{it|Flourens Pyat Rochefort Cluseret Delescluze Ferré Verdure Rigault}}","{{it|Ritratti di nove eletti al Consiglio della Comune di Parigi}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Prima del settembre 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 12}}","Materiale fotografico. Procedimento all'albumina",51610,https://iconoteca.arc.usi.ch/it/inventario/51610
"[[:File:Rovine della facciata dell'Hôtel de Ville dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine della facciata dell'Hôtel de Ville dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Hôtel de Ville}}","{{it|Rovine della facciata dell'Hôtel de Ville dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51611,https://iconoteca.arc.usi.ch/it/inventario/51611
"[[:File:Rovine della facciata dell'Hôtel de Ville e Pont d'Arcole, visti dal Quai de la Corse, dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine della facciata dell'Hôtel de Ville e Pont d'Arcole, visti dal Quai de la Corse, dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Hôtel de Ville, P.L.}}","{{it|Rovine della facciata dell'Hôtel de Ville e Pont d'Arcole, visti dal Quai de la Corse, dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51612,https://iconoteca.arc.usi.ch/it/inventario/51612
"[[:File:Rovine del Padiglione dell'orologio delle Tuilleries dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine del Padiglione dell'orologio delle Tuilleries dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Tuileries, Pavillon de l'horloge. P.L.}}","{{it|Rovine del Padiglione dell'orologio delle Tuilleries dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51613,https://iconoteca.arc.usi.ch/it/inventario/51613
"[[:File:Rovine della facciata del Palais de Justice rivolto al cortile di maggio e Santa Cappella, dopo l'incendio del maggio 1871.jpg]]","[[File:Rovine della facciata del Palais de Justice rivolto al cortile di maggio e Santa Cappella, dopo l'incendio del maggio 1871.jpg|100px]]","{{it|Palais de Justice, P.L.}}","{{it|Rovine della facciata del Palais de Justice rivolto al cortile di maggio e Santa Cappella, dopo l'incendio del maggio 1871}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,"Maggio 1871","Loubère, P.",,"{{Size|unit = cm |width = 9 |height = 13}}","Materiale fotografico. Procedimento all'albumina",51614,https://iconoteca.arc.usi.ch/it/inventario/51614
